Protein.names,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Apolipoprotein A-IV (Apolipoprotein A4),38540.31672,77483.89183,113559.7011,56968.85574,156082.8516,216236.9388,92513.91834,NA,82580.36026,53174.15192,122813.8944,NA,93928.81819,199676.0149,148554.7871,61820.6476,76343.39494,69983.90045,356714.3053,176505.0071,221328.9603,76780.06762,179189.3279,109287.3083,431411.8305,40675.6297,83748.76012,145291.5422,328043.1974,80288.79852
Apolipoprotein C-I,NA,25535.16519,15297.27479,18273.7241,NA,6244.084527,22841.72722,56015.98942,14588.59137,15125.2217,64082.52511,33457.79964,3267.70316,NA,33917.81414,10598.43538,NA,20236.85821,106114.2981,26672.36,19348.71223,7333.553525,126608.7881,20782.74385,21885.53231,32170.47814,6145.98782,12133.32907,42455.49116,6680.640377
Apolipoprotein C-I (Apo-CI) (ApoC-I) (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I],13405.40709,25535.16519,15297.27479,18273.7241,NA,6244.084527,22841.72722,56015.98942,14588.59137,15125.2217,64082.52511,33457.79964,3267.70316,93400.15812,NA,10598.43538,32393.15661,20236.85821,106114.2981,26672.36,19348.71223,7333.553525,126608.7881,20782.74385,21885.53231,32170.47814,6145.98782,12133.32907,42455.49116,6680.640377
Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2),182202.3962,144813.1695,37105.79221,35028.58885,255936.2191,102172.868,99981.15697,138545.5623,285034.2913,60295.09942,174898.836,91589.49747,611903.6412,455688.8312,166731.7262,63036.36457,89139.69749,10636.7421,159748.3339,43379.82,136325.9422,51671.70133,362185.3641,39348.17479,140591.3469,251621.6861,46907.44848,165171.995,82560.36197,22611.1898
Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2) [Cleaved into: Proapolipoprotein C-II (ProapoC-II)],60734.13207,48271.05651,12368.5974,11676.19628,85312.07305,34057.62267,33327.05232,46181.8541,95011.43044,20098.36647,58299.612,30529.83249,203967.8804,151896.2771,55577.24208,21012.12152,29713.2325,3545.580699,53249.44465,14459.94,45441.98072,17223.90044,120728.4547,13116.05826,46863.78229,83873.89537,15635.81616,55057.33165,27520.12066,7537.063265
Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3),35117.67921,44050.23966,28869.19408,15515.2476,48768.68664,41633.03578,71206.88827,107224.252,191926.2983,NA,145521.1936,79447.15514,229195.6576,475756.1399,92985.60273,86049.26151,55212.49221,20129.5122,162674.3845,52863.20225,79040.01934,34438.2588,247286.9959,27762.61737,124148.599,65013.66206,NA,73016.58755,109424.1165,35656.60949
Apolipoprotein C-III (Apolipoprotein C3),70235.35842,88100.47933,57738.38817,31030.49521,97537.37329,83266.07157,142413.7765,214448.504,383852.5965,38543.79062,291042.3871,158894.3103,458391.3152,951512.2796,185971.2055,172098.523,110424.9844,40259.02439,325348.7691,105726.4045,158080.0387,68876.51759,494573.9918,55525.23473,248297.1979,130027.3241,21794.50185,146033.1751,218848.233,71313.21898
Apolipoprotein C2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280.2952112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apolipoprotein D,15384.05605,10882.62357,35434.62502,13612.44577,NA,20182.33158,27136.49541,NA,43723.36983,50342.35844,41328.3831,73055.34797,42825.3487,NA,21930.16323,NA,NA,6237.434008,113962.6872,33588.05736,53327.39819,23259.22168,153411.2649,7088.527737,9503.20816,5831.117556,12277.14939,29212.90675,23055.59033,11615.81401
Apolipoprotein D (Apo-D) (ApoD),15384.05605,10882.62357,35434.62502,13612.44577,54999.76171,20182.33158,27136.49541,65519.02148,43723.36983,50342.35844,41328.3831,73055.34797,42825.3487,183342.8689,21930.16323,20987.45988,32161.18424,6237.434008,113962.6872,33588.05736,53327.39819,23259.22168,153411.2649,7088.527737,9503.20816,5831.117556,12277.14939,29212.90675,23055.59033,11615.81401
Apolipoprotein E,128819.6583,30568.65241,62299.55879,11119.76602,57131.41073,40246.30855,43529.47275,183058.4618,154255.8481,47314.94173,211797.6542,77707.81455,284100.1251,413028.7732,63448.69061,34958.75974,180087.6303,67416.89211,192217.3866,34367.71444,69999.96985,80683.76975,412609.3062,45465.61742,41178.22721,66050.26525,15927.87817,154305.4102,58333.89579,26054.21655
Apolipoprotein E (Apo-E),128819.6583,30568.65241,62299.55879,11119.76602,57131.41073,40246.30855,43529.47275,183058.4618,154255.8481,47314.94173,211797.6542,77707.81455,284100.1251,137676.2577,63448.69061,34958.75974,60029.21007,67416.89211,192217.3866,34367.71444,69999.96985,80683.76975,412609.3062,45465.61742,41178.22721,66050.26525,15927.87817,154305.4102,58333.89579,26054.21655
Apolipoprotein F (Apo-F) (Lipid transfer inhibitor protein) (LTIP),NA,507.111022,532.7298948,NA,NA,NA,NA,NA,780.3309748,NA,NA,NA,NA,NA,NA,443.7041057,559.9316256,NA,NA,432.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apolipoprotein L1,32056.00982,16838.63201,157754.512,NA,NA,253983.1027,7575.557683,NA,54317.58086,148861.9276,126951.6987,12323.39875,NA,NA,69304.20116,2517.867203,49335.14481,5654.512939,NA,NA,77549.47498,62627.9695,134254.0976,106951.0347,88024.00234,2998.087236,8988.441994,6752.975822,88466.22081,20508.22203
Apolipoprotein L1 (Apolipoprotein L) (Apo-L) (ApoL) (Apolipoprotein L-I) (ApoL-I),1023.064143,2971.523295,18930.54144,NA,NA,8105.843705,241.7731176,NA,9585.455445,4854.193291,22403.24095,36970.19624,6826.984766,NA,2211.836207,80.35746391,1574.525898,16963.53882,NA,NA,46529.68499,1998.764984,4284.705242,21390.20694,17604.80047,8994.261707,26965.32598,20258.92747,17693.24416,3619.098005
Apolipoprotein M,10965.43661,7071.31601,27291.77266,14415.7703,5118.594115,12302.78636,3489.693373,17048.52189,17883.08417,37015.9264,26857.50105,27450.88027,24040.44418,20536.89591,10603.34132,4396.605675,14158.85794,1876.140787,64389.85964,7692.82,16448.03627,3556.331398,30918.73914,20333.37437,12785.03304,16841.47408,17287.06471,20811.0866,5063.356911,14444.75078
Apolipoprotein M (Apo-M) (ApoM) (Protein G3a),21930.87323,14142.63202,13645.88633,7207.885148,10237.18823,6151.393179,6979.386746,34097.04379,35766.16833,18507.9632,53715.00209,27450.88027,48080.88836,41073.79183,21206.68265,8793.211349,28317.71589,NA,32194.92982,NA,8224.018133,NA,61837.47828,10166.68718,12785.03304,8420.737039,8643.532353,41622.17319,NA,NA
Artemin (Enovin) (Neublastin),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928.9238102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Attractin (DPPT-L) (Mahogany homolog),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3351.093906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3555.601982,NA,NA,NA,NA,NA,NA
B cell receptor heavy chain variable region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103254.1598,NA,NA,NA,NA,NA,NA,NA
B cell receptor kappa chain variable region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2045.714682,NA,NA,NA
BAG family molecular chaperone regulator 1,NA,NA,NA,NA,NA,NA,3164.840538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRE,28144.51122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
