,pathway_name,source,n_genes,mean_AD,mean_Ctrl,diff
GO:0043177,organic acid binding,GO:MF,4,0.34311005490686614,0.34724417405494334,-0.004134119148077209
GO:0034358,plasma lipoprotein particle,GO:CC,16,0.18135471012507054,0.17722724365929823,0.004127466465772306
GO:1990777,lipoprotein particle,GO:CC,16,0.18135471012507054,0.17722724365929823,0.004127466465772306
GO:0032994,protein-lipid complex,GO:CC,16,0.18135471012507054,0.17722724365929823,0.004127466465772306
GO:0051668,localization within membrane,GO:BP,11,0.16498576171496634,0.16911289284353323,-0.0041271311285668855
GO:0010985,negative regulation of lipoprotein particle clearance,GO:BP,4,0.18523201128860928,0.18111006249646344,0.004121948792145835
GO:0007417,central nervous system development,GO:BP,14,0.07819208504096617,0.08230307816060564,-0.004110993119639472
GO:0071944,cell periphery,GO:CC,116,0.20264771650010452,0.20675478936261554,-0.004107072862511024
GO:0050790,regulation of catalytic activity,GO:BP,25,0.22132120625297386,0.2172141625899257,0.004107043663048149
WP:000000,WIKIPATHWAYS,WP,170,0.1913759372610225,0.18727902654303016,0.004096910717992341
GO:0120015,sterol transfer activity,GO:MF,4,0.24614099772761072,0.25022878012137695,-0.004087782393766226
GO:0120020,cholesterol transfer activity,GO:MF,4,0.24614099772761072,0.25022878012137695,-0.004087782393766226
GO:0031667,response to nutrient levels,GO:BP,11,0.3254636342038094,0.32139505552242353,0.0040685786813858815
REAC:R-HSA-8957275,Post-translational protein phosphorylation,REAC,18,0.32632158143666196,0.32227625148633143,0.004045329950330523
GO:0004888,transmembrane signaling receptor activity,GO:MF,12,-0.38893804430398504,-0.38490622179274675,-0.004031822511238292
GO:0019842,vitamin binding,GO:MF,4,0.4804159292298046,0.47638491842268904,0.004031010807115543
GO:0010628,positive regulation of gene expression,GO:BP,35,0.0018406260161656443,0.005854922525755164,-0.0040142965095895196
GO:0048678,response to axon injury,GO:BP,3,0.20862860908200925,0.20461636274281245,0.004012246339196807
GO:0031103,axon regeneration,GO:BP,3,0.20862860908200925,0.20461636274281245,0.004012246339196807
GO:0031102,neuron projection regeneration,GO:BP,3,0.20862860908200925,0.20461636274281245,0.004012246339196807
GO:0044217,other organism part,GO:CC,3,0.400314472183795,0.40432031109471767,-0.004005838910922654
GO:0008092,cytoskeletal protein binding,GO:MF,17,0.1385430824167404,0.14253920104506573,-0.003996118628325329
GO:0098978,glutamatergic synapse,GO:CC,12,0.12457841776928096,0.12059257900778049,0.003985838761500465
GO:0006915,apoptotic process,GO:BP,38,0.1642955804719313,0.16031699574814828,0.003978584723783013
GO:0008219,cell death,GO:BP,40,0.16419676757404372,0.16022188637248927,0.003974881201554453
GO:0012501,programmed cell death,GO:BP,40,0.16419676757404372,0.16022188637248927,0.003974881201554453
GO:0015918,sterol transport,GO:BP,14,0.15512779049368045,0.15907330149145882,-0.003945510997778373
GO:0030301,cholesterol transport,GO:BP,14,0.15512779049368045,0.15907330149145882,-0.003945510997778373
GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",GO:MF,6,0.17574849620010027,0.17968909955347026,-0.003940603353369987
GO:0045862,positive regulation of proteolysis,GO:BP,9,0.17694635450221713,0.18088475938795318,-0.0039384048857360465
GO:0043169,cation binding,GO:MF,83,0.20503705727480934,0.2089736051147139,-0.003936547839904575
GO:0072657,protein localization to membrane,GO:BP,9,0.16517873309313516,0.16911289284353323,-0.00393415975039807
GO:0030182,neuron differentiation,GO:BP,20,0.12147440209921787,0.11755247207548003,0.003921930023737835
GO:0048699,generation of neurons,GO:BP,20,0.12147440209921787,0.11755247207548003,0.003921930023737835
GO:0051346,negative regulation of hydrolase activity,GO:BP,6,0.18272788421165076,0.17880652213193474,0.003921362079716023
GO:0045937,positive regulation of phosphate metabolic process,GO:BP,10,-0.029928655861246156,-0.03384687935050122,0.0039182234892550655
GO:0010562,positive regulation of phosphorus metabolic process,GO:BP,10,-0.029928655861246156,-0.03384687935050122,0.0039182234892550655
GO:0141187,nucleic acid biosynthetic process,GO:BP,32,0.03887538147406403,0.034967315443507355,0.003908066030556677
GO:0001894,tissue homeostasis,GO:BP,6,-0.2988094372387645,-0.302712793772396,0.003903356533631497
GO:0022008,neurogenesis,GO:BP,22,0.1210964844959221,0.11721212745780034,0.0038843570381217607
GO:0044419,biological process involved in interspecies interaction between organisms,GO:BP,75,0.24909733622902713,0.25296866935452605,-0.0038713331254989214
GO:0006629,lipid metabolic process,GO:BP,31,0.1576325590442821,0.15377895126510588,0.0038536077791762324
GO:0034385,triglyceride-rich plasma lipoprotein particle,GO:CC,10,0.18435551439449765,0.1882027621554258,-0.003847247760928152
GO:0034361,very-low-density lipoprotein particle,GO:CC,10,0.18435551439449765,0.1882027621554258,-0.003847247760928152
GO:0033218,amide binding,GO:MF,9,0.19026102252197633,0.1864160559995764,0.003844966522399934
GO:0141124,intracellular signaling cassette,GO:BP,32,0.0838042049604201,0.07996547665630759,0.0038387283041125125
KEGG:05132,Salmonella infection,KEGG,8,-0.2916958060212379,-0.2878636677599423,-0.003832138261295581
GO:0060249,anatomical structure homeostasis,GO:BP,7,-0.29888099361214887,-0.302712793772396,0.003831800160247145
GO:0000793,condensed chromosome,GO:CC,3,-0.2654212890588491,-0.26160669504508266,-0.003814594013766437
GO:0051338,regulation of transferase activity,GO:BP,11,0.14451796033297556,0.1407041964586675,0.003813763874308068
